,Manufacturer,Model,Imaging,octa_enface_imaging,Anatomic Region,caching,mode,Valid Combination,success,error
217,Heidelberg,Spectralis,OCT,,Macula,0.01,slice,True,True,
271,Heidelberg,Spectralis,OCT,,Macula,0.01,center_slice,True,True,
91,Heidelberg,Spectralis,Infrared Reflectance,,Optic_Disc,0.0,slice,True,True,
253,Heidelberg,Spectralis,Infrared Reflectance,,Optic_Disc,0.01,slice,True,True,
92,Heidelberg,Spectralis,Infrared Reflectance,,Macula,0.0,slice,True,True,
254,Heidelberg,Spectralis,Infrared Reflectance,,Macula,0.01,slice,True,True,
53,iCare,Eidon,Infrared Reflectance,,Macula,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
161,iCare,Eidon,Infrared Reflectance,,Macula,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
215,iCare,Eidon,Infrared Reflectance,,Macula,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
323,iCare,Eidon,Infrared Reflectance,,Macula,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
52,iCare,Eidon,Color Photography,,Temporal_Periphery,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
160,iCare,Eidon,Color Photography,,Temporal_Periphery,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
214,iCare,Eidon,Color Photography,,Temporal_Periphery,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
322,iCare,Eidon,Color Photography,,Temporal_Periphery,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
51,iCare,Eidon,Color Photography,,Nasal,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
159,iCare,Eidon,Color Photography,,Nasal,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
213,iCare,Eidon,Color Photography,,Nasal,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
321,iCare,Eidon,Color Photography,,Nasal,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
49,iCare,Eidon,Color Photography,,Mosaic,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
157,iCare,Eidon,Color Photography,,Mosaic,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
211,iCare,Eidon,Color Photography,,Mosaic,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
319,iCare,Eidon,Color Photography,,Mosaic,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
50,iCare,Eidon,Color Photography,,Macula,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
158,iCare,Eidon,Color Photography,,Macula,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
212,iCare,Eidon,Color Photography,,Macula,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
320,iCare,Eidon,Color Photography,,Macula,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
48,iCare,Eidon,Autofluorescence,,Macula,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'faf'. Allowed imaging types for 'volume' are ['oct', 'octa']."
102,iCare,Eidon,Autofluorescence,,Macula,0.0,slice,False,False,"Invalid mode 'slice' for imaging type 'faf'. Allowed imaging types for 'slice' are ['cfp', 'ir', 'oct', 'octa']."
156,iCare,Eidon,Autofluorescence,,Macula,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'faf'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
210,iCare,Eidon,Autofluorescence,,Macula,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'faf'. Allowed imaging types for 'volume' are ['oct', 'octa']."
